MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
32.0,4,83.0,61.0,2003.0,19.0,74,3
31.0,4,79.0,67.0,2000.0,16.0,74,2
26.0,4,156.0,92.0,2585.0,14.5,82,1
18.0,6,250.0,88.0,3139.0,14.5,71,1
26.0,4,98.0,90.0,2265.0,15.5,73,2
38.0,4,91.0,67.0,1965.0,15.0,82,3
13.0,8,350.0,175.0,4100.0,13.0,73,1
24.5,4,151.0,88.0,2740.0,16.0,77,1
16.0,8,400.0,180.0,4220.0,11.1,77,1
17.5,6,250.0,110.0,3520.0,16.4,77,1
38.0,4,91.0,67.0,1995.0,16.2,82,3
15.5,8,318.0,145.0,4140.0,13.7,77,1
22.0,6,250.0,105.0,3353.0,14.5,76,1
26.0,4,97.0,46.0,1950.0,21.0,73,2
29.0,4,68.0,49.0,1867.0,19.5,73,2
13.0,8,360.0,170.0,4654.0,13.0,73,1
24.3,4,151.0,90.0,3003.0,20.1,80,1
24.0,4,116.0,75.0,2158.0,15.5,73,2
31.3,4,120.0,75.0,2542.0,17.5,80,3
15.0,6,250.0,72.0,3158.0,19.5,75,1
24.0,4,121.0,110.0,2660.0,14.0,73,2
14.0,8,351.0,153.0,4129.0,13.0,72,1
26.5,4,140.0,72.0,2565.0,13.6,76,1
18.0,6,250.0,78.0,3574.0,21.0,76,1
14.0,8,304.0,150.0,4257.0,15.5,74,1
11.0,8,350.0,180.0,3664.0,11.0,73,1
26.0,4,97.0,78.0,2300.0,14.5,74,2
25.4,6,168.0,116.0,2900.0,12.6,81,3
16.0,8,318.0,150.0,4190.0,13.0,76,1
15.0,8,350.0,145.0,4440.0,14.0,75,1
39.4,4,85.0,70.0,2070.0,18.6,78,3
16.0,6,250.0,105.0,3897.0,18.5,75,1
23.6,4,140.0,93.5,2905.0,14.3,80,1
26.0,4,96.0,69.0,2189.0,18.0,72,2
19.4,8,318.0,140.0,3735.0,13.2,78,1
17.0,6,163.0,125.0,3140.0,13.6,78,2
23.9,4,119.0,97.0,2405.0,14.9,78,3
21.0,6,199.0,90.0,2648.0,15.0,70,1
